variable,pfg
Aristida.warburgii,c4
Axonopus.fissifolius,c4
Carex.breviculmis,c3
Cymbopogon.refractus,c4
Cynodon.dactylon,c4
Cyperus.flaccidus,c3
Dianella.longifolia,c3
Dichelachne.micrantha,c3
Digitaria.longiflora,c4
Echinopogon.caespitosus,c3
Entolasia.stricta,c3
Eragrostis.brownii,c4
Eragrostis.curvula,c4
Eragrostis.leptostachya,c4
Fimbristylis.dichotoma,c4
Juncus.continuus,c3
Lachnagrostis.filiformis,c3
Lomandra.longifolia,c3
Microlaena.stipoides,c3
Oplismenus.hirtellus,c3
Paspalidium.distans,c4
Paspalum.dilatatum,c4
Schoenus.apogon,c3
Setaria.parviflora,c4
Themeda.triandra,c4
